# MOVE graph names, keyed by CPathID (CRC-32 of the lowercased name).
# Generated by `jackall-cli move names`; do not hand-edit.
# Recovered from the *named.bin authoring twins by hashing every string they
# hold and keeping the ones a loadable graph actually keys on - so every row
# here is self-proving, and the twins' own format never had to be decoded.
003CC546	ml12_se03_Victim_SitAlerted_idle
1E41FB2E	ML09_SE01_Boss_GreetAF
1E53347F	Pawn_Gesture_BeckonMed
1EBA1ECB	PKM
1EBFA868	sm03_se02b_ChurchAssault05
1ED02355	ML02_SE01_Boss_Rbst_AB_AD
1EF60B91	ml12_se05_informant_Sit_idle
1F000617	Pawn_Generic_Throw_Layered
1F15F77D	Pawn_ST_Social_AbortedConversationPost
1F1A63C3	SM16_SE01_Jack_Offer_Idle
1FA37848	sm08_se01ufll_helper_exit
1FCA9AA7	ML06_SE01_Helper_Recap
1FD0B91F	sm06_se01ufll_boss_wait
1FFCC849	pawn_generic_malaria_heal
205A6A65	Transition_AutoShoot_End
2067BCD0	buddyrescue_event3
2077F15B	Pawn_Generic_RepairVehicle_Start
209A9A50	ML11_SE01_Helper_Rbst_AA_AC
20B36DF4	Pawn_Gesture_BeckonBig
2107102E	BodyWhaWha_BaseLayer_Stand_NoTurn
213B63A9	sm00_se01_Civilian3_Event_40
213E33CA	pawn_gesture_SomethingSeen
2140171D	ML03_SE01_Helper_Recap
21417A2F	ML10_SE01_Helper_Rbst_D
215D7966	ML12_SE05_Teacher_Greet_Sit2Stand
21882DA3	ML01_SE01_helper_accept
219D92D4	pkg_a3sm11_se01_ufll
21ABE865	ML12_SE01_Helper_Convo
22061BBE	pkg_a1sm03_se02a
22435D3C	DLC1_SlideFinish
225403FB	pawn_gesture_LetsGo
226A1325	pawn_gesture_covernosea
226C31BD	Pawn_Generic_Drown
22A87E3E	Pawn_ST_Duty_Inventory2Post
22B3BBE2	pawn_generic_TakeCigar
22C7CA45	pawn_hmrhealth_oncovershoot
22DFE6DC	pawn_hmrhealth_lyingCover
22F35F33	Pawn_ST_Rest_SitChairV4
233EEC58	pawn_gesture_DenyV1
23402F03	ML08_SE01_Helper_Rbst_D
237F9F7C	pawn_hmrhealth_kneeCover
23823370	Pawn_ST_Rest_SleepBedV3Abort
238C9189	ML09_SE01_Helper_Recap_Idle
23C36006	gm00_se01_exit_aa
23E073BE	sm08_se01apr_boss_accept_idle
2479E44D	sm10_se02_buddy_dialc
24BB27C1	ML05_Base_Helper_Rbst_D
24D3E11C	sm05_se01a_player_idle
24E943A6	Pawn_Generic_Aim_Third
25765286	pkg_a2sm16_se02a
25CEB394	sm00_se01_Civilian1_Event_40
25D1F5C9	Pawn_Generic_Mounted_BaseLayer
26026162	ML05_Base_Boss_Greet_Idle
260C4DCE	ML05_Base_Helper_Abort_AA
26149AD1	Pawn_Generic_Heal
262B4AC9	jeepwrangler
263D1681	ml12_se03_Victim_Sit_idle
264C65B0	Pawn_ST_Rest_EatHandFood
26828734	RPG7
269EEB3C	Pawn_Generic_Hurts
26AC6805	Pawn_ST_Layer_Smoke
270A78C9	buddyrescue_event7
27223A4C	ML10_SE01_Boss_Rbst_AA_AC
272C8D03	ML03_SE01_Helper_Offer
27639BB2	Pawn_ST_Rest_LeanWall1SitPre
27A72713	sm02_se01apr_boss_exit_idle2
27A88E15	ML01_SE01_Boss_Rbst_AB_AD
27AD1A5A	ML08_SE01_Boss_GreetAD
27D06292	pawn_gesture_LookAroundPanic
28002193	ML04_SE01_Boss_Finish_Idle
286BE843	sm08_se01apr_helper_accept_idle
2873B8D9	sm00_se01_Player_MalariaFinal
28BA6138	ML03_SE01_Helper_Recap_Idle
28DF10D1	Pawn_Buddyrescue_SecondBlackout
28E5C326	ML08_SE01_Boss_Finish_Idle
28F6E1AE	sm10_se02_brokenwall_wait02
290CBE8E	Pawn_ST_Rest_SitChairV3Pre
2935362C	Pawn_Sync_Machete_FinishDefault
294EFDE4	pawn_st_duty_First_Aid_Loop
295E7A5E	Pawn_ST_Rest_SitOnGroundPre
29633041	sm08_se03ufll_jackc_brief_aa
296A6B11	ML04_SE01_Boss_GreetAF
298DB434	base_lockedanimateddoor
29AA69A9	Pawn_ST_Duty_FixWeaponAbort
29DCEBF4	3rdGe_FulB_BlindShoot01_+000Fw_PrAk4_I1
29DF538E	Pawn_ST_Rest_EatHandFoodPre
2A392611	sm02_se01ufll_boss_exit_idle2
2A63E09A	Pawn_ST_Rest_LeanHoriz2
2A814696	sm11_se01ufll_boss_greet_idle
2A894971	ML12_SE01_Boss_Abort_AA
2AD2F5A1	ML02_SE01_Boss_GreetAA
2ADE4FFC	civilians_couple_female_reactionpre
2AF4DF55	Pawn_Generic_LadderMove
2AF810D0	pkg_a2sm06_se01_ufll
2AF82A4C	Quadruped_Die
2B2BE95A	gm00_se01_brief_c
2B7C4F40	sm04_se01_player_falltruck
2BA94F59	ml00_base_Guard_DoorGuardIn
2BC8BAC3	M249
2C275385	sm10_se02_guard02_Exit
2C4988EC	Pawn_Vehicle_Dive_Left
2C5A9B55	ML02_SE01_Boss_Abort_AB
2C5CFC09	pawn_buddydown_CradleToExecuteNeutral
2C67EA6C	Pawn_ST_Rest_Sleep1Abort
2C7819C6	ML11_SE01_Helper_Exit_Idle
2C8E4AE6	ML06_SE01_Boss_Convo_Idle
2CCE5CCD	sm01_av01_machetteanchor
2D17C05E	pawn_gesture_FollowMe
2D3D6B9B	Pawn_ST_Rest_Pushup
2D567706	ml01_se04_Victim_Diala
2D63ABC1	BodyWhaWha_BaseLayer_LeanWall
2D6EC53A	ML10_SE01_Helper_Rbst_AB_AD
2D93A5C1	ML04_SE01_Helper_PickUp_File
2D9AA4AB	Pawn_Generic_MountedMovement
2DACA73D	sm03_se02a_beerfridge_push
2DB4996F	ML06_SE01_Boss_GreetAC
2DB761FC	ML07_SE03_Minister_SitIdle
2DBF31B8	ML02_SE01_Boss_GreetAE
2DFF56E5	pawn_gesture_Order02
2E07AF08	ML04_SE01_Boss_GreetAB
2E1874B9	sm00_se01_TaxiDriver_Event_040
2EBBE9B8	pawn_gesture_shoved_hard
2EE95FAA	Pawn_ST_Duty_CultivateFieldPre
2EFBE15A	pawn_st_rest_watchtvpost
2F0554FD	ML05_Base_Boss_GreetAC
2F0AE265	buddyrescue_exit0
2F193FF9	Pawn_Generic_Mounted
2F3F37BE	Transition_Crouch_to_Stand
2F530D9B	fishing_boat
2FB03A85	pawn_gesture_discouragement
2FDA1E8E	sm00_se01_TaxiDriver_Event_140
2FEB8112	sm11_se01ufll_boss_exit_idle1
2FF0221B	Pawn_ST_Layer_Cough
300A5E8C	ML11_SE01_Boss_Rbst_AA_AC
30100552	Pawn_ST_Duty_AmmoReload1Abort
3026ABC2	ML08_SE01_Boss_Offer
304D5481	pawn_st_social_collaborativesurveillancepost
30899201	sm03_se02b_player_exit
308D99B4	DLC_Quad_RepairVehicule
30932AAA	ML11_SE01_Helper_Recap
31066416	sm03_se02b_civma1_beckon
313349AD	ML10_SE01_Helper_PickUp_File
31560196	Pawn_ST_Rest_SitOnGroundV1
3170573A	ML04_SE01_Boss_Abort_AA
318069C6	sm08_se01apr_boss_convo_idle
31977020	Pawn_ST_Rest_SleepBedV1
31A1461A	Pawn_Rosace
31AE61A0	ML03_SE01_Boss_Convo
320A0FF3	ML11_SE01_Boss_Finish_Idle
3221E6EC	sm02_se01apr_boss_wait
325839BB	Pawn_ST_Rest_SitOnGround
326D3634	Pawn_Generic_Vehicle_GetOut
329F67C2	ML01_SE01_Helper_Rbst_B
32AEECE5	sm06_se01apr_boss_exit
32C63EA4	Grin_trade_Papers
32F3C893	DLC1_Aim
330C6A46	sm11_se01apr_boss_accept
3339B213	Transition_Watch_AdjustHand_Back
3343509C	buddyrescue_killevent1
3350D8E0	Pawn_Generic_UnJamSuccess
33F167D6	DLC_Quad_GetIn
34020506	pawn_social_aimedat_start
34179339	ML08_SE01_Helper_Convo_Idle
341EEEEC	Pawn_Gesture_OneFingerPoint
344DC951	Pawn_ST_Rest_Crunch
345351C4	pawn_gesture_salute1b
3462318E	ml12_se05_informant_Reaction
346AE7AC	pawn_gesture_middlefingera
3470860B	pawn_st_duty_sniperspotteraabort
34738FC6	VehicleRide_Passenger
3481F125	ml09_se01_player_mms
349A1A23	BodyWhaWha_BaseLayer_Stand_Right
34B6EF0E	Pawn_Gesture_FingerSnap
34B726EF	Pawn_ST_Rest_SitonGroundV2Abort
34F7EE67	ML04_SE01_Boss_Greet_Idle
34F9C2CB	ML04_SE01_Helper_Abort_AA
3505A1D5	Pawn_ST_Rest_SitChairV4Post
351CDF55	sm11_se01ufll_boss_briefing
352C580E	ML07_se01_Helper_Rbst_AA_AC
35469ADD	pkg_a2sm08_se03_ufll
35AB1859	sm08_se01ufll_helper_convo_idle
3664DEAB	pawn_generic_desertgetup
366A752C	Pawn_ST_Rest_PhoneNoSignalAbort
367237A6	ML04_SE01_Helper_Exit_Idle
3697D513	ML08_SE01_Helper_Exit_Idle
36C12FCF	sm00_se01_TaxiDriver_Event_150
36F6A678	DLC_Unimog_GetIn
36FFB0B4	ML11_SE01_Helper_Offer
370345F8	sm00_se01_TaxiDriver_Event_050
370BF393	pawn_st_social_awalepost
3787CA5A	ml09_se05_player_mms
37BDBC25	ladder
37CC6AC3	buggy
37EB1EB7	Pawn_ST_Rest_CrunchAbort
37F078A6	pawn_hmrhealth_oncoveridle
3812F82E	sm00_se01_CivilianBridge2_Event_130
382109AC	ML12_SE01_Boss_Rbst_D
382833FE	BodyWhaWha_BaseLayer_LeanTable_ThenStand
3835C631	ML05_Base_Boss_Rbst_D
3885D8C2	sm08_se01apr_helper_wait
389B8776	sm08_se01apr_helper_convo
389E4F56	pawn_buddydown_CradleEntry
38C3E111	pawn_buddydown_cradlegunawaytochin
38D80764	ML06_SE01_Helper_Rbst_AB_AD
38FBF087	BodyWhaWha_BaseLayer_SitTable
396452BD	ML10_SE01_Boss_Offer
396E4731	Quadruped_LookAt
39C4C251	pawn_st_rest_leanbackwall_arm
39D9C857	ML08_SE01_Helper_Convo
39FC38FA	Pawn_ST_Rest_SitOnGroundV2Post
3A20A1D5	SM16_SE01_Jack_Recap_BriefCase
3A3B3210	Pawn_Transition_Jump_End
3A4A8142	Pawn_ST_Abort_SitOnGround
3A607569	ancor_safehouse_nosignal
3AB86464	ML06_SE01_Helper_Rbst_D
3AC600A7	sm00_se01_GuardLeft2_Event_80_StartIdle
3B01C816	ML10_SE01_Boss_GreetAA
3B854927	Pawn_ST_Rest_Sit2Post
3BA62E26	ML07_se01_Boss_Convo_Idle
3BC471FB	ML11_SE01_Boss_Rbst_B
3BF86051	BodyWhaWha_BaseLayer_LeanDesk
3C0E191F	sm03_se02a_marty_exit2
3C134178	ML11_SE05_Buddy_DialB
3C1CDD44	SM16_SE02a_Player
3C359687	cine_playercameraref
3C46654E	gm00_se01_exit
3C475155	pawn_gesture_forgetaboutit
3C4882BE	DLC_Unimog_ChangeSeat
3C592C67	sm06_se01ufll_boss_recap_idle
3C680B74	sm11_se01ufll_chair
3C6C0C0F	ML10_SE01_Boss_GreetAE
3C87666A	ml04_se03_informant_Reaction
3DB2A710	sm03_se02b_priest_convo_idle
3DF119FE	MP_NearDeath
3DF5622F	ML10_SE01_Boss_Rbst_D
3E257974	Pawn_ST_Layer_Spitting
3E46373F	sm03_se02a_marty_greetdiala
3E8703C8	Pawn_ST_Rest_SleepBedV4Abort
3EC1BC10	nitrousbottlestack
3ED0F51E	sm04_se03_jackc_greet_aa
3EDFED4C	OpenOutsideDoor_Guard
3EF88A3B	veh_glider
3F1A989A	Pawn_Multi_DieBeforeRevive
3F216388	ML02_SE01_Helper_Convo_Idle
3F2EBF49	cine_civmale_walk04
3F8D285E	DLC_Unimog_RepairVehicule
3F9C6110	ml01_se03_Player_Pickup
3FA13A9E	sm11_se01ufll_boss_accept_idle
3FA5C97D	Transition_IdleCombat2Alert
3FCE7274	pawn_st_abort_kneeleft
3FD40123	Pawn_Gesture_LoudNoiseFar
3FDF3A68	ML12_SE01_Boss_GreetAD
401E08CB	buddyrescue_event10
406076BE	pawn_gesture_CoverHead
4079FBD6	sm06_se01apr_boss_greet_idle
407DADBA	Pawn_Buddyrescue_FirstBlackout
40970E9B	ML07_se01_Helper_Exit_Idle
40CBAF08	ML03_SE01_Helper_Exit_Idle
40CFFE91	Alert_Gesture_Interruption
40F64775	ml00_base_player_stand
413019FD	steeringwheel
413CF519	Pawn_ST_Rest_SitOnGroundV4
41481544	Pawn_BuddyRescue_Exit_Anchor
4195FD95	Pawn_ST_Duty_CleanVertPre
419E39FD	pickup
41B4BDDE	pawn_gesture_interruptwavea
41BCFF67	ML07_se01_Helper_Recap_Idle
41BD1D92	ancor_safehouse_sit
41BFF1FC	ML05_Base_File_Position
41D3DE19	Pawn_Generic_Vehicle_FallOff
41FD84AF	Pawn_ST_Rest_SleepBedV4
4215192B	Transition_IdleAlert2Combat
42392BF2	3rdge_fulb_bspgrt01+000fw_nowep_i1
4271B055	ML06_SE01_Boss_Rbst_AB_AD
427D2EAC	pawn_st_rest_scootoverasitpost
42A6466F	ML07_se01_Boss_Convo
42D16BCC	pkg_a1lm01_se03
42EA245A	pawn_generic_malaria_attack_in_freeze
42F9E4F0	ml05_se03_HandoverDefoliant
42FC7AE8	pawn_buddydown_cradleentrygun
4308C2CF	pawn_gesture_LightClose
43470D6B	Pawn_Sync_Machete_Scare
4354D61A	sm08_se01ufll_helper_accept_idle
43695794	pawn_st_social_conversationpost
43913F89	ML10_SE01_Helper_Convo_Idle
43A18696	pawn_hmrhealth_carryturn
43E5F699	Pawn_ST_Rest_SitOnGroundV3Pre
44149970	pawn_st_rest_drinkbeercrateApre
44264169	ML11_SE01_Helper_Rbst_D
44318AA8	ML01_SE03_ChiefsBrother_Greet_Sit2Stand
4444600A	buddyrescue_killevent0
44722325	ML12_SE01_Helper_Abort_AB
44840497	pawn_gesture_SeeSomethingInWater
44872A07	pawn_gesture_ShoutOrderV1
44929111	sm08_se03apr_player_brief_d0
44C79C16	pawn_st_rest_watchtv
44CCD323	ML02_SE01_Helper_Convo
44EF36CE	ML12_SE01_Boss_Finish_Idle
45133C52	sm06_se01apr_boss_exit_idle1
451F1B25	multiplayer
453F02A0	ml06_av01_player_answercall
4596C8EA	DLC_Quad_ChangeSeat
45985754	ML01_SE01_Helper_Rbst_C
4606B4E7	ML02_SE01_Boss_Greet_Idle
4608984B	ML02_SE01_Helper_Abort_AA
460A36A6	ML05_Base_Helper_Exit_Idle
46271445	ML09_SE01_Helper_Rbst_D
4648C967	ML02_SE01_Helper_PickUp_File
46706CA5	sm03_se02a_player_push
4676DFBE	Pawn_Generic_Holster
468E68F4	pawn_gesture_WitnessDrowning
46956184	Grin_CivilianBystander_Female_Wait
46E524B4	sm08_se01ufll_boss_a0
47067EF0	Pawn_ST_Duty_CheckJarPost
47345DED	Guard_OpenMainDoor_Inside_Guard
473D6D2E	SM16_SE01_Jack_Greet
4743F416	pawn_buddydown_CradleExit
47526B06	DLC_Quad_GetOut
479C66E3	ml00_base_player_pickupframe
47E01408	ml08_se03b_player_InstalDynamite_Front
47E7C264	pawn_st_rest_leanvt_leftpre
485CF868	ml08_se01_helper_exit
48753574	pawn_hmrhealth_lyingexpire
4878A566	sm08_se03ufll_jackc_brief_d0
4889CEC1	civilians_male02_reaction
48D207FC	Pawn_Generic_SingleBulletReload_Begin
48D80AFE	ML12_SE01_Boss_GreetAE
48FDB3C9	frankmainmove
491783B3	sm06_se01apr_boss_accept_idle
4932C52A	pawn_hmrhealth_healinjured
49330132	Pawn_ST_Rest_SitChairV2Abort
4937F4D8	ML06_SE01_Helper_Accept_Idle
493DA013	ML03_SE01_Boss_Abort_AB
49519F0E	player_pushed_blendout
495774A6	ML01_SE01_Boss_Convo_Idle
495CA77E	pkg_a3cine
496EDF41	Pawn_St_Duty_PaperworkPre
499CA686	Pawn_ST_Rest_LeanHoriz3Pre
49B682FA	Pawn_Gesture_StopInvert
49FAF4C2	cine_command
4A206857	sm08_se03apr_jackc_brief_ab
4A74B1BD	sm00_se01_TaxiDriver_Event_000
4ABBCDF7	sm03_se02b_churchshrine_exit
4ADC0A5E	sm08_se03ufll_player_exit_00
4B3E7262	pawn_st_rest_watchtvpre
4B6B3C99	ML10_SE01_Boss_GreetAD
4B75EFCF	sm03_se02b_priest_exit
4B83DC26	pawn_st_rest_leanbackwall_armpost
4BB6DB8A	sm00_se01_TaxiDriver_Event_100
4CC3416D	ML11_SE01_Boss_Rbst_C
4CC53B29	UZI
4CF44C07	Pawn_Generic_MapCompass_FlipSide
4D46F8FB	Pawn_ST_ChickenSitPost
4D68984E	sm16_se02b_command_handoverbriefcase
4D958102	ML05_Base_Boss_Convo
4DBDF80D	BodyWhaWha_BaseLayer_LeanWall_ThenStand
4DC388DE	sm06_se01apr_boss_accept
4E5EF599	Pawn_Generic_Pickup
4E655ABC	Pawn_Gesture_Flame
4E84D699	pawn_st_rest_drinkbeercrateA
4EAABC0D	BodyWhaWha_BaseLayer_LeanTable
4EE9BFD6	Mortar
4F003108	pawn_gesture_shhb
4F03F823	Mp_DeathOverTime
4F1D6B6E	sm10_se02_buddy_GoingToDoor
4F2C88E9	Pawn_ST_Rest_Exercise2
4F34FD98	sm08_se01apr_boss_wait
4F444BC6	cine_civmale_walk01
4F6F1BFD	BodyWhaWha_BaseLayer_Stand_Left
4FB5CEE7	ML12_SE01_Boss_GreetAA
4FBF646B	sm10_se02_guard01_wait02
4FC60DB5	sm08_se01apr_boss_b0
4FC744A6	buddyrescue_entry2
4FD17BDF	Pawn_ST_Duty_AmmoReload2
4FDBBFEA	Pawn_ST_Rest_PissPre
5006B9A4	Transition_Stand_to_Crouch
500B4A26	Watch
500D485F	buddyrescue_event6
503A8313	pawn_generic_BurnOnGround
5053F051	Pawn_ST_Layer_SlapInsectOnNeck
50601502	Pawn_Multi_HitReaction
5062211D	pawn_st_duty_lootabort
50AA2ACC	ML08_SE01_Boss_GreetAE
50CD230F	sm08_se01ufll_boss_accept
5116A7A1	ML01_SE01_Helper_Greet_Idle
5120FC8B	ML03_SE01_Helper_Abort_AA
512538EC	civilians_female02_reaction
512ED027	ML03_SE01_Boss_Greet_Idle
513A3236	pawn_st_social_scootoverbsitabort
